rare_count,method,class_id,mean_coverage,mean_set_size,mean_ordinal_span,threshold_variance,preliminary_threshold_variance,mean_abs_correction,infinite_threshold_rate,infinite_correction_rate,final_support
10,linear_structured_final_mondrian,3,0.9078708092629885,2.064643050269656,4.038705697863177,0.004151673582758259,0.0013148918904078537,0.057464500978715485,0,0,50
10,linear_structured_final_mondrian,4,0.8985608228778906,2.0064564378510665,4.74339689757363,0.007566224909699289,0.0030973993916074824,0.07689190198276047,0,0,50
10,ordinal_cluster,0,0.9529013616418609,0.9538176392095379,0.9538176392095379,0.0008644827044176452,,,0,0,
10,ordinal_cluster,1,0.931589608016721,0.941924791394365,0.941924791394365,0.0006665161236150258,,,0,0,
10,ordinal_cluster,2,0.9082675954987243,0.9624416505180865,0.9624416505180865,0.000360938223582062,,,0,0,
10,ordinal_cluster,3,0.9021126934097248,1.0269497378402606,1.0269497378402606,0.0007535086967433526,,,0,0,
10,ordinal_cluster,4,0.8780383805462142,0.9734151717296412,0.9734151717296412,0.0010742302794838699,,,0,0,
20,independent_mondrian,0,0.9055014934513864,0.9058321492243552,0.9058321492243552,0.003530668723266322,,,0,0,
20,independent_mondrian,1,0.9037071661470275,0.9148493241297303,0.9148493241297303,0.0007578073286772881,,,0,0,
20,independent_mondrian,2,0.9074661758840218,0.9601533859752902,0.9601533859752902,0.002375076544587182,,,0,0,
20,independent_mondrian,3,0.9012951024538721,1.0557541867315885,1.0557541867315885,0.00250361264524463,,,0,0,
20,independent_mondrian,4,0.9046300198434085,1.0006852202549754,1.0006852202549754,0.00271233126656737,,,0,0,
20,linear_structured_final_mondrian,0,0.8990372749008813,0.8994952811703567,0.8994952811703567,0.009373161073428598,0.001886768389281087,0.0875002910917646,0,0,10
20,linear_structured_final_mondrian,1,0.9076313667857029,0.9225198345009326,0.9225198345009326,0.0019583832055213375,0.0007795848173034253,0.04512314495451029,0,0,50
20,linear_structured_final_mondrian,2,0.9031390856613519,0.9659970740677027,0.9659970740677027,0.005099080840150472,0.0005894012453257634,0.06225120020712429,0,0,50
20,linear_structured_final_mondrian,3,0.9044361747653054,1.070562633360752,1.070562633360752,0.005733364308538447,0.0013162176733481016,0.0689861692824604,0,0,50
20,linear_structured_final_mondrian,4,0.9058373359057313,1.0101719450411024,1.0101719450411024,0.005606500224727792,0.0029600341013704392,0.07452804825169518,0,0,50
20,ordinal_cluster,0,0.9554782242705371,0.9561812426469631,0.9561812426469631,0.0006003238084715256,,,0,0,
20,ordinal_cluster,1,0.9275487697763081,0.9376490971257091,0.9376490971257091,0.0005934029852603635,,,0,0,
20,ordinal_cluster,2,0.9060975125651729,0.9596276464160682,0.9596276464160682,0.0005563208498125291,,,0,0,
20,ordinal_cluster,3,0.9032318464400938,1.0289449938287198,1.0289449938287198,0.0008564662114707821,,,0,0,
20,ordinal_cluster,4,0.8791546395475076,0.9731596115857799,0.9731596115857799,0.0014009505578536753,,,0,0,
50,independent_mondrian,0,0.9087325208409783,0.9090960439348071,0.9090960439348071,0.001516938283352287,,,0,0,
50,independent_mondrian,1,0.9032258351210101,0.912108032418431,0.912108032418431,0.0009554050054045386,,,0,0,
50,independent_mondrian,2,0.8980491128672156,0.9458685153524413,0.9458685153524413,0.0014356288151761226,,,0,0,
50,independent_mondrian,3,0.8918681292659562,1.043752956709218,1.043752956709218,0.0020760313799678917,,,0,0,
50,independent_mondrian,4,0.9071164362890496,0.9949635948143022,0.9949635948143022,0.003167543055523309,,,0,0,
50,linear_structured_final_mondrian,0,0.9276365374773222,0.9280423871032505,0.9280423871032505,0.0029943471292843524,0.0011811510680785051,0.05411747174831601,0,0,25
50,linear_structured_final_mondrian,1,0.9046101726031358,0.9174256678535518,0.9174256678535518,0.001878866072370073,0.0006294694567368835,0.03943322200386171,0,0,50
50,linear_structured_final_mondrian,2,0.9043390314367588,0.956658670813182,0.956658670813182,0.003591060305318047,0.0006218678453952609,0.05428287782781884,0,0,50
50,linear_structured_final_mondrian,3,0.8907505672323636,1.069227624749789,1.069227624749789,0.0042597641424281674,0.0011583462340536376,0.060647588093576274,0,0,50
50,linear_structured_final_mondrian,4,0.9156889424311332,1.0069589872025237,1.0069589872025237,0.007217253103305523,0.0022389046227120134,0.09261150480287537,0,0,50
50,ordinal_cluster,0,0.9493829766061879,0.9498639465553462,0.9498639465553462,0.0006811601892083494,,,0,0,
50,ordinal_cluster,1,0.9165895172469073,0.9255649148260414,0.9255649148260414,0.0005217442187452815,,,0,0,
50,ordinal_cluster,2,0.8986958176372528,0.9482370779133222,0.9482370779133222,0.00046696507681033306,,,0,0,
50,ordinal_cluster,3,0.8989613688164024,1.0186094984642964,1.0186094984642964,0.0005372248867243469,,,0,0,
50,ordinal_cluster,4,0.8774304801118256,0.9681289729155581,0.9681289729155581,0.0010332365943965048,,,0,0,
100,independent_mondrian,0,0.8973878637640211,0.897546396795335,0.897546396795335,0.0004750540987113652,,,0,0,
100,independent_mondrian,1,0.8935344238071938,0.9041975047527191,0.9041975047527191,0.0007671785820095344,,,0,0,
100,independent_mondrian,2,0.9055211699205212,0.9591848858728664,0.9591848858728664,0.0023562116689966727,,,0,0,
100,independent_mondrian,3,0.9046832207510301,1.0534090996023215,1.0534090996023215,0.002248561834481961,,,0,0,
100,independent_mondrian,4,0.8990065523356991,0.9960763667565857,0.9960763667565857,0.0027710704668905727,,,0,0,
100,linear_structured_final_mondrian,0,0.9022961878213253,0.9029312093701576,0.9029312093701576,0.0013877940525659877,0.0006856977705441355,0.04092938713789829,0,0,50
100,linear_structured_final_mondrian,1,0.901168002437582,0.9135991553687562,0.9135991553687562,0.0021597284424827684,0.0003663930637070957,0.03802580997622564,0,0,50
100,linear_structured_final_mondrian,2,0.909816053545772,0.9699104381039102,0.9699104381039102,0.0036165615063580587,0.0007122083568700562,0.05651457680059647,0,0,50
100,linear_structured_final_mondrian,3,0.8996418316663752,1.0552008995332638,1.0552008995332638,0.005701896088246483,0.001723143650033017,0.07474200753301609,0,0,50
100,linear_structured_final_mondrian,4,0.8938375681717764,0.9944105559095748,0.9944105559095748,0.0059670951216117445,0.0033991989431959775,0.08042632377844676,0,0,50
100,ordinal_cluster,0,0.9332302515895251,0.9335901386088722,0.9335901386088722,0.0003488142121362504,,,0,0,
100,ordinal_cluster,1,0.9030262726648893,0.9124437143665631,0.9124437143665631,0.0003905078848113768,,,0,0,
100,ordinal_cluster,2,0.9026028934125071,0.9545937673918483,0.9545937673918483,0.000785562240922525,,,0,0,
100,ordinal_cluster,3,0.9045427087566548,1.0286929633124722,1.0286929633124722,0.0009315056754480982,,,0,0,
100,ordinal_cluster,4,0.8782605866462015,0.9732132873587404,0.9732132873587404,0.0012066833034294717,,,0,0,
