n_str,repetition,m4,e4,n4,h4,epsilon4,epsilon4_h0,epsilon4_h1,epsilon4_h2,alpha_minus_epsilon4,N4_star,mondrian_rank,approx_rank,certified_rank,mondrian_finite,approx_finite,certified_finite,mondrian_coverage,approx_coverage,certified_coverage
2000,5,48,0.2349272353337136,3,0,0.0,0.0,0.45130841686965006,0.45130841686965006,0.1,3,,,,0,0,0,1.0,1.0,1.0
5000,5,149,0.13334012328758782,3,0,0.0,0.0,0.27492520325287234,0.28982159935184054,0.1,3,,,,0,0,0,1.0,1.0,1.0
10000,5,276,0.0979714296433156,3,0,0.0,0.0,0.17782977741426825,0.17782977741426825,0.1,3,,,,0,0,0,1.0,1.0,1.0
20000,5,582,0.06746717011573962,3,0,0.0,0.0,0.12542446538360832,0.1275267699338284,0.1,3,,,,0,0,0,1.0,1.0,1.0
50000,5,1517,0.041788924700250134,3,2,0.09096315296551172,0.0,0.08693361625070413,0.09096315296551172,0.009036847034488288,87,,80,,0,1,0,1.0,0.8325106943073379,1.0
500,6,10,0.5146997846583985,7,0,0.0,0.0,0.8543651933260924,0.9257568619213279,0.1,7,,,,0,0,0,1.0,1.0,1.0
1000,6,34,0.2791351498127753,7,0,0.0,0.0,0.5246340590177928,0.5492973200966553,0.1,7,,,,0,0,0,1.0,1.0,1.0
2000,6,53,0.22357129981173743,7,0,0.0,0.0,0.5485258449129498,0.5485258449129498,0.1,7,,,,0,0,0,1.0,1.0,1.0
5000,6,150,0.13289491295190142,7,0,0.0,0.0,0.26168134617240757,0.2945123820381271,0.1,7,,,,0,0,0,1.0,1.0,1.0
10000,6,284,0.09658169356899368,7,0,0.0,0.0,0.20795559636917932,0.20795559636917932,0.1,7,,,,0,0,0,1.0,1.0,1.0
20000,6,607,0.06606320526142778,7,0,0.0,0.0,0.129431533255915,0.1420978414778269,0.1,7,,,,0,0,0,1.0,1.0,1.0
50000,6,1500,0.042025061437781924,7,2,0.08121156659034519,0.0,0.0746146524317183,0.08121156659034519,0.018788433409654817,107,,98,106,0,1,1,1.0,0.8817385444743935,0.9818059299191375
500,7,12,0.4698544706674272,6,0,0.0,0.0,0.7858371298054008,0.8368451317133929,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,7,36,0.27127060511978823,6,0,0.0,0.0,0.522869889292098,0.522869889292098,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,7,60,0.21012530718890962,6,0,0.0,0.0,0.4050375377922261,0.42900753341016695,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,7,159,0.12907895012938111,6,0,0.0,0.0,0.26675897507865287,0.26675897507865287,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,7,313,0.09199872695455544,6,0,0.0,0.0,0.16841142216393368,0.18752872786563166,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,7,597,0.06661420066905592,6,0,0.0,0.0,0.1303461224206104,0.1545151780814422,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,7,1518,0.041775157964676346,6,2,0.0948541082675797,0.0,0.08982208969494623,0.0948541082675797,0.005145891732420305,105,,96,,0,1,0,1.0,0.8410814375206067,1.0
500,8,17,0.39475671460027256,11,0,0.0,0.0,0.732973639151044,0.7405528689323504,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
1000,8,41,0.2541921053481353,11,0,0.0,0.0,0.560513092248889,0.560513092248889,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
2000,8,66,0.20034661945836324,11,0,0.0,0.0,0.392631260932872,0.392631260932872,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
5000,8,159,0.12907895012938111,11,0,0.0,0.0,0.23564943265381288,0.23564943265381288,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
10000,8,318,0.09127260094492558,11,0,0.0,0.0,0.15896801407585426,0.18664505957604743,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
20000,8,596,0.06667006164379391,11,0,0.0,0.0,0.1489535350769978,0.1489535350769978,0.1,11,11,11,11,1,1,1,0.9854972375690608,0.9854972375690608,0.9854972375690608
50000,8,1525,0.04167917027645563,11,2,0.0816735654230581,0.0,0.07555639350886062,0.0816735654230581,0.0183264345769419,93,11,85,93,1,1,1,0.9854972375690608,0.943024861878453,0.9886049723756906
500,9,10,0.5146997846583985,4,0,0.0,0.0,0.9490957193253187,0.9490957193253187,0.1,4,,,,0,0,0,1.0,1.0,1.0
1000,9,25,0.32552472614374584,4,0,0.0,0.0,0.5558356229719708,0.5740700356129332,0.1,4,,,,0,0,0,1.0,1.0,1.0
2000,9,67,0.19884587458609926,4,0,0.0,0.0,0.4350672008559658,0.4350672008559658,0.1,4,,,,0,0,0,1.0,1.0,1.0
5000,9,147,0.13424413447640776,4,0,0.0,0.0,0.27752400388271736,0.27752400388271736,0.1,4,,,,0,0,0,1.0,1.0,1.0
10000,9,318,0.09127260094492558,4,0,0.0,0.0,0.16904878588543637,0.16904878588543637,0.1,4,,,,0,0,0,1.0,1.0,1.0
20000,9,554,0.06915110179567632,4,0,0.0,0.0,0.13869468811042476,0.13869468811042476,0.1,4,,,,0,0,0,1.0,1.0,1.0
50000,9,1477,0.04235100677349378,4,2,0.0823850247784532,0.0,0.0823850247784532,0.0823850247784532,0.0176149752215468,88,,81,88,0,1,1,1.0,0.8837441705529647,0.9943371085942705
500,10,10,0.5146997846583985,8,0,0.0,0.0,0.8837016757979927,0.8837016757979927,0.1,8,,,,0,0,0,1.0,1.0,1.0
1000,10,29,0.3022421205312754,8,0,0.0,0.0,0.5119210779682571,0.5119210779682571,0.1,8,,,,0,0,0,1.0,1.0,1.0
2000,10,70,0.19453823286637434,8,0,0.0,0.0,0.44999612786301674,0.44999612786301674,0.1,8,,,,0,0,0,1.0,1.0,1.0
5000,10,131,0.1422061368876321,8,0,0.0,0.0,0.28886636572451696,0.28886636572451696,0.1,8,,,,0,0,0,1.0,1.0,1.0
10000,10,279,0.0974432779270511,8,0,0.0,0.0,0.19028978532755592,0.19028978532755592,0.1,8,,,,0,0,0,1.0,1.0,1.0
20000,10,615,0.06563211938338195,8,0,0.0,0.0,0.13050262589877054,0.13050262589877054,0.1,8,,,,0,0,0,1.0,1.0,1.0
50000,10,1483,0.04226524696876972,8,2,0.09340506279753741,0.0,0.08646492520439297,0.09340506279753741,0.006594937202462597,89,,81,,0,1,0,1.0,0.8489548213081591,1.0
500,11,12,0.4698544706674272,6,0,0.0,0.0,0.9035117983800596,0.9035117983800596,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,11,29,0.3022421205312754,6,0,0.0,0.0,0.569730691354855,0.569730691354855,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,11,47,0.2374133070565597,6,0,0.0,0.0,0.5784400524057952,0.6060608896359372,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,11,146,0.13470309012111864,6,0,0.0,0.0,0.24605151737195446,0.248599200853326,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,11,303,0.0935045344601037,6,0,0.0,0.0,0.17113619195995253,0.18479606669947607,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,11,604,0.06622706629510566,6,0,0.0,0.0,0.129235944615264,0.13412276373410303,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,11,1531,0.041597419618588094,6,2,0.08533428176563686,0.0,0.08024593127493833,0.08533428176563686,0.014665718234363148,89,,81,89,0,1,1,1.0,0.8811544991511036,0.9915110356536503
500,12,13,0.4514215736702495,9,0,0.0,0.0,0.8497242990952845,0.8497242990952845,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
1000,12,32,0.2877259266251706,9,0,0.0,0.0,0.5336842130766334,0.5336842130766334,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
2000,12,56,0.2175003564559484,9,0,0.0,0.0,0.4692697378753564,0.4692697378753564,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
5000,12,139,0.1380532345261147,9,0,0.0,0.0,0.28492986147296356,0.330632443403658,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
10000,12,292,0.09524946847142562,9,0,0.0,0.0,0.17874219403817887,0.1857067946705449,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
20000,12,604,0.06622706629510566,9,0,0.0,0.0,0.12117719310558342,0.135456295070708,0.1,9,9,9,9,1,1,1,0.7862295081967213,0.7862295081967213,0.7862295081967213
50000,12,1443,0.04284703961042931,9,1,0.09383796932569013,0.0,0.09383796932569013,0.10594210027704938,0.006162030674309871,48,9,45,,1,1,0,0.7862295081967213,0.8937704918032787,1.0
500,13,19,0.3734024697064055,4,0,0.0,0.0,0.8586066312278369,0.8586066312278369,0.1,4,,,,0,0,0,1.0,1.0,1.0
1000,13,29,0.3022421205312754,4,0,0.0,0.0,0.5971983287813087,0.5971983287813087,0.1,4,,,,0,0,0,1.0,1.0,1.0
2000,13,51,0.22791289543887963,4,0,0.0,0.0,0.5227902764167102,0.5227902764167102,0.1,4,,,,0,0,0,1.0,1.0,1.0
5000,13,150,0.13289491295190142,4,0,0.0,0.0,0.24115425154970568,0.24115425154970568,0.1,4,,,,0,0,0,1.0,1.0,1.0
10000,13,320,0.09098692700180233,4,0,0.0,0.0,0.16968474682098297,0.1778652518477779,0.1,4,,,,0,0,0,1.0,1.0,1.0
20000,13,623,0.06520936381265156,4,0,0.0,0.0,0.13114409158591256,0.13114409158591256,0.1,4,,,,0,0,0,1.0,1.0,1.0
50000,13,1423,0.04314709257322154,4,1,0.07630772623833271,0.0,0.07630772623833271,0.09245606216497977,0.0236922737616673,42,,39,42,0,1,1,1.0,0.8468256634195499,0.9714477662075915
500,14,14,0.4350007129118968,3,0,0.0,0.0,0.8254022498893885,0.8491541851144212,0.1,3,,,,0,0,0,1.0,1.0,1.0
1000,14,31,0.2923298337811533,3,0,0.0,0.0,0.5411804104520738,0.5449537111993625,0.1,3,,,,0,0,0,1.0,1.0,1.0
2000,14,46,0.23998001199710536,3,0,0.0,0.0,0.3966307506386476,0.39971877759251884,0.1,3,,,,0,0,0,1.0,1.0,1.0
5000,14,144,0.13563530255989412,3,0,0.0,0.0,0.2847455406695701,0.2847455406695701,0.1,3,,,,0,0,0,1.0,1.0,1.0
10000,14,299,0.09412790492657468,3,0,0.0,0.0,0.16359221900149146,0.18890470340786936,0.1,3,,,,0,0,0,1.0,1.0,1.0
20000,14,577,0.06775885833323897,3,0,0.0,0.0,0.12602362885842,0.1271244378488116,0.1,3,,,,0,0,0,1.0,1.0,1.0
50000,14,1579,0.0409602804505502,3,2,0.09095146957270493,0.0,0.08649948183912581,0.09095146957270493,0.009048530427295073,85,,78,,0,1,0,1.0,0.84487901889294,1.0
500,15,17,0.39475671460027256,6,0,0.0,0.0,0.751993899857514,0.751993899857514,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,15,33,0.28333290641361875,6,0,0.0,0.0,0.5196467752258445,0.5196467752258445,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,15,58,0.21371745298786668,6,0,0.0,0.0,0.3999482467042837,0.3999482467042837,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,15,157,0.129898507252619,6,0,0.0,0.0,0.26338559427764385,0.26338559427764385,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,15,278,0.09761837829815252,6,0,0.0,0.0,0.1754787083513408,0.1754787083513408,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,15,565,0.06847464078455237,6,0,0.0,0.0,0.134630565580911,0.134630565580911,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,15,1533,0.041570276111868344,6,2,0.09429205810694019,0.0,0.08609320458993922,0.09429205810694019,0.005707941893059815,98,,90,,0,1,0,1.0,0.89633542423242,1.0
500,16,15,0.42025061437781924,9,0,0.0,0.0,0.7155982252571713,0.7293334700366296,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
1000,16,23,0.33938298766476444,9,0,0.0,0.0,0.6625194661082658,0.6625194661082658,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
2000,16,67,0.19884587458609926,9,0,0.0,0.0,0.346161105108607,0.3727223655698485,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
5000,16,155,0.13073387603717462,9,0,0.0,0.0,0.29142042627449516,0.29142042627449516,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
10000,16,292,0.09524946847142562,9,0,0.0,0.0,0.18224481549450977,0.18224481549450977,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
20000,16,547,0.06959216113048748,9,0,0.0,0.0,0.12011485738179914,0.13636371109578,0.1,9,9,9,9,1,1,1,0.982605841811618,0.982605841811618,0.982605841811618
50000,16,1484,0.042251004256665635,9,2,0.0817316627767524,0.0,0.0817316627767524,0.0817316627767524,0.01826833722324761,104,9,95,104,1,1,1,0.982605841811618,0.9107318674105678,0.982605841811618
500,17,21,0.3551765947936871,1,0,0.0,0.0,0.694334434222512,0.7127008626274647,0.1,1,,,,0,0,0,1.0,1.0,1.0
1000,17,26,0.319203255916136,1,0,0.0,0.0,0.5980416757272148,0.5980416757272148,0.1,1,,,,0,0,0,1.0,1.0,1.0
2000,17,51,0.22791289543887963,1,0,0.0,0.0,0.46290403708710803,0.46290403708710803,0.1,1,,,,0,0,0,1.0,1.0,1.0
5000,17,137,0.13905727127853038,1,0,0.0,0.0,0.23699674066328175,0.27974060289857144,0.1,1,,,,0,0,0,1.0,1.0,1.0
10000,17,291,0.09541298699261173,1,0,0.0,0.0,0.1982627650803525,0.1982627650803525,0.1,1,,,,0,0,0,1.0,1.0,1.0
20000,17,596,0.06667006164379391,1,0,0.0,0.0,0.11259144541729192,0.13728030339538955,0.1,1,,,,0,0,0,1.0,1.0,1.0
50000,17,1490,0.04216584930764364,1,2,0.09112639681952092,0.0,0.08479503357032658,0.09112639681952092,0.008873603180479084,84,,77,,0,1,0,1.0,0.8929400066291018,1.0
500,18,8,0.5754518532503412,6,0,0.0,0.0,1.0,1.0,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,18,39,0.26062836707652304,6,0,0.0,0.0,0.4546554228213562,0.4546554228213562,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,18,55,0.21946872559449798,6,0,0.0,0.0,0.434317007339846,0.434317007339846,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,18,145,0.13516678543432334,6,0,0.0,0.0,0.2909012729664601,0.30719873923273733,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,18,333,0.0891932255348093,6,0,0.0,0.0,0.16366508893523912,0.17383201183303887,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,18,617,0.06552566007666777,6,0,0.0,0.0,0.11236472648582456,0.11361211786317879,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,18,1486,0.04222256197524865,6,1,0.08510517907291211,0.0,0.08510517907291211,0.09684920128285787,0.014894820927087896,41,,38,,0,1,0,1.0,0.8485162180814355,1.0
500,19,15,0.42025061437781924,7,0,0.0,0.0,0.849829301401011,0.849829301401011,0.1,7,,,,0,0,0,1.0,1.0,1.0
1000,19,24,0.33223728237975353,7,0,0.0,0.0,0.5908120006475099,0.605004741942647,0.1,7,,,,0,0,0,1.0,1.0,1.0
2000,19,67,0.19884587458609926,7,0,0.0,0.0,0.37637742753032966,0.37637742753032966,0.1,7,,,,0,0,0,1.0,1.0,1.0
5000,19,155,0.13073387603717462,7,0,0.0,0.0,0.2470662436167681,0.29616220656958725,0.1,7,,,,0,0,0,1.0,1.0,1.0
10000,19,319,0.09112942814941934,7,0,0.0,0.0,0.16613323062068405,0.17770155993801887,0.1,7,,,,0,0,0,1.0,1.0,1.0
20000,19,576,0.06781765127994706,7,0,0.0,0.0,0.14317133945010307,0.1455176477339013,0.1,7,,,,0,0,0,1.0,1.0,1.0
50000,19,1452,0.04271404278794792,7,0,0.0,0.0,0.10229534115551145,0.1078475654055046,0.1,7,,,,0,0,0,1.0,1.0,1.0
500,20,13,0.4514215736702495,5,0,0.0,0.0,1.0,1.0,0.1,5,,,,0,0,0,1.0,1.0,1.0
1000,20,19,0.3734024697064055,5,0,0.0,0.0,0.7791349846825553,0.7791349846825553,0.1,5,,,,0,0,0,1.0,1.0,1.0
2000,20,48,0.2349272353337136,5,0,0.0,0.0,0.40026404824181994,0.40026404824181994,0.1,5,,,,0,0,0,1.0,1.0,1.0
5000,20,156,0.13031418353826152,5,0,0.0,0.0,0.2915492867243653,0.2915492867243653,0.1,5,,,,0,0,0,1.0,1.0,1.0
10000,20,298,0.09428570538090363,5,0,0.0,0.0,0.1715016587612386,0.1715016587612386,0.1,5,,,,0,0,0,1.0,1.0,1.0
20000,20,601,0.0663921527156611,5,0,0.0,0.0,0.13126467589981775,0.14789249690668718,0.1,5,,,,0,0,0,1.0,1.0,1.0
50000,20,1535,0.0415431856716423,5,2,0.09215746906060303,0.0,0.08268243002466091,0.09215746906060303,0.007842530939396977,84,,77,,0,1,0,1.0,0.9171438194678343,1.0
500,21,11,0.49074698936454547,5,0,0.0,0.0,0.8085268369293235,0.8085268369293235,0.1,5,,,,0,0,0,1.0,1.0,1.0
1000,21,34,0.2791351498127753,5,0,0.0,0.0,0.5415524439637529,0.5693507960324842,0.1,5,,,,0,0,0,1.0,1.0,1.0
2000,21,70,0.19453823286637434,5,0,0.0,0.0,0.37753013290980614,0.37753013290980614,0.1,5,,,,0,0,0,1.0,1.0,1.0
5000,21,157,0.129898507252619,5,0,0.0,0.0,0.2396476096075196,0.2396476096075196,0.1,5,,,,0,0,0,1.0,1.0,1.0
10000,21,279,0.0974432779270511,5,0,0.0,0.0,0.2188345871172143,0.2188345871172143,0.1,5,,,,0,0,0,1.0,1.0,1.0
20000,21,603,0.06628195819536642,5,0,0.0,0.0,0.12863554833349822,0.12863554833349822,0.1,5,,,,0,0,0,1.0,1.0,1.0
50000,21,1448,0.042772999396806205,5,2,0.09306811511573945,0.0,0.09028392681664835,0.09306811511573945,0.006931884884260553,89,,81,,0,1,0,1.0,0.8738211382113821,1.0
500,22,13,0.4514215736702495,6,0,0.0,0.0,0.9128676604826186,0.9128676604826186,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,22,30,0.2971620592243688,6,0,0.0,0.0,0.5092621745390425,0.5925627933692729,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,22,54,0.22149152158650237,6,0,0.0,0.0,0.4301310346481093,0.4673273960969708,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,22,162,0.12787818961118694,6,0,0.0,0.0,0.2501461465232335,0.2506320682887015,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,22,297,0.09444430213787292,6,0,0.0,0.0,0.1823272831935499,0.1823272831935499,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,22,610,0.06590055452979479,6,0,0.0,0.0,0.13072583126839935,0.13072583126839935,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,22,1565,0.04114308146276563,6,1,0.0710142709195141,0.0,0.0710142709195141,0.08244561067992054,0.02898572908048591,40,,37,40,0,1,1,1.0,0.8983382209188661,0.9882697947214076
500,23,21,0.3551765947936871,6,0,0.0,0.0,0.7683922703300945,0.772783331221659,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,23,26,0.319203255916136,6,0,0.0,0.0,0.6457150010451235,0.6457150010451235,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,23,63,0.20506130261398986,6,0,0.0,0.0,0.4393743909200302,0.4393743909200302,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,23,152,0.13201770922060185,6,0,0.0,0.0,0.2571789428812429,0.2571789428812429,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,23,277,0.09779442601248794,6,0,0.0,0.0,0.2226792801142698,0.22986995494658913,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,23,606,0.06611769038843054,6,0,0.0,0.0,0.11666435243036746,0.14114948042279066,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,23,1461,0.042582276789292314,6,1,0.08627130841388697,0.0,0.08627130841388697,0.10404955833792168,0.013728691586113034,49,,45,,0,1,0,1.0,0.8811212428233705,1.0
500,24,16,0.4069059076796823,1,0,0.0,0.0,0.8021611105290456,0.8297277682725285,0.1,1,,,,0,0,0,1.0,1.0,1.0
1000,24,26,0.319203255916136,1,0,0.0,0.0,0.6202532265371177,0.6202532265371177,0.1,1,,,,0,0,0,1.0,1.0,1.0
2000,24,71,0.19316338713798736,1,0,0.0,0.0,0.3901944076556619,0.3901944076556619,0.1,1,,,,0,0,0,1.0,1.0,1.0
5000,24,159,0.12907895012938111,1,0,0.0,0.0,0.2504387852998453,0.259602436775053,0.1,1,,,,0,0,0,1.0,1.0,1.0
10000,24,306,0.09304504993759179,1,0,0.0,0.0,0.1855278500192252,0.20516438614102617,0.1,1,,,,0,0,0,1.0,1.0,1.0
20000,24,631,0.06479467366824984,1,0,0.0,0.0,0.15570180959010346,0.15570180959010346,0.1,1,,,,0,0,0,1.0,1.0,1.0
50000,24,1500,0.042025061437781924,1,2,0.08665478393060978,0.0,0.0807172150055728,0.08665478393060978,0.013345216069390223,92,,84,92,0,1,1,1.0,0.9372509960159362,0.9970119521912351
500,25,13,0.4514215736702495,9,0,0.0,0.0,0.9077205728925287,0.9077205728925287,0.1,9,9,9,9,1,1,1,0.9095315024232633,0.9095315024232633,0.9095315024232633
1000,25,22,0.3470105240265526,9,0,0.0,0.0,0.6470693116166302,0.6470693116166302,0.1,9,9,9,9,1,1,1,0.9095315024232633,0.9095315024232633,0.9095315024232633
