n_cert,method,tau,repetitions,mean_support,finite_rate,pac_valid_rate,mean_true_coverage,mean_threshold_finite,mean_candidate_true_coverage,sd_candidate_true_coverage,mean_lower_bound,mean_successes
5000,ordinal_candidate_plus_cp_certification,0.95,100,150.43,0.63,1,0.983615803188842,0.926158876796877,0.9557984852585606,0.035050719842277436,0.9041273970334746,143.86
5000,ordinal_candidate_plus_cp_certification,0.97,100,150.43,0.86,1,0.9865120854487317,0.9844452403906481,0.9793821092743762,0.021422194277778837,0.9070794226682287,142.69
5000,ordinal_pooled_candidate_uncertified,0.9,100,45.91,1,0.59,0.9039073318474421,0.7911780777278449,0.9039073318474421,0.0480408266295693,,
5000,ordinal_pooled_candidate_uncertified,0.93,100,45.91,1,0.83,0.9366905690905738,0.840054545831354,0.9366905690905738,0.0392565596570442,,
5000,ordinal_pooled_candidate_uncertified,0.95,100,45.91,1,0.93,0.9557984852585606,0.8852459561573213,0.9557984852585606,0.035050719842277436,,
5000,ordinal_pooled_candidate_uncertified,0.97,100,45.91,0.97,1,0.9793821092743762,0.9666816203896107,0.9793821092743762,0.021422194277778837,,
10000,direct_pac_split_matched,,100,297.54,1,1,0.9395311453585986,0.831696244302456,0.9395311453585986,0.011859432753347483,0.9018746979207015,280.13
10000,direct_pac_total_budget,,100,303.56,1,1,0.9396463026372963,0.8319334641798218,0.9396463026372963,0.012084070764651162,0.9020243154262826,285.72
10000,independent_mondrian_total_budget,,100,303.56,1,0.54,0.9021996670354143,0.7799727437726841,,,,
10000,ordinal_candidate_plus_cp_certification,0.9,100,297.54,0.23,1,0.9894603358077247,0.8598024443981834,0.9020892649140958,0.04786252866107599,0.8553369715360581,268.12
10000,ordinal_candidate_plus_cp_certification,0.93,100,297.54,0.51,1,0.9825941894567944,0.8955657062337931,0.9384177253348646,0.036665334227345664,0.8990504679943854,279.04
10000,ordinal_candidate_plus_cp_certification,0.95,100,297.54,0.75,1,0.9789653703774609,0.9179325263989904,0.9583584995791848,0.031133431052597457,0.9249652544402978,285.22
10000,ordinal_candidate_plus_cp_certification,0.97,100,297.54,0.9,1,0.9848026384923522,0.9762312416950152,0.9793172460273047,0.022044684591823238,0.9232396183449871,282.13
10000,ordinal_pooled_candidate_uncertified,0.9,100,45.63,1,0.6,0.9020892649140958,0.7884702363458045,0.9020892649140958,0.04786252866107599,,
10000,ordinal_pooled_candidate_uncertified,0.93,100,45.63,1,0.84,0.9384177253348646,0.8446760555038797,0.9384177253348646,0.036665334227345664,,
10000,ordinal_pooled_candidate_uncertified,0.95,100,45.63,1,0.95,0.9583584995791848,0.8888437053260915,0.9583584995791848,0.031133431052597457,,
10000,ordinal_pooled_candidate_uncertified,0.97,100,45.63,0.97,0.99,0.9793172460273047,0.9638748165025598,0.9793172460273047,0.022044684591823238,,
20000,direct_pac_split_matched,,100,601.44,1,0.99,0.9275293881651919,0.8125242789850651,0.9275293881651919,0.011596741889262416,0.9010022808842773,558.81
20000,direct_pac_total_budget,,100,607.32,1,0.99,0.9273343874540085,0.8122115678030605,0.9273343874540085,0.011426707737231978,0.9009063196511343,564.14
20000,independent_mondrian_total_budget,,100,607.32,1,0.58,0.9012142226312548,0.7783546402613349,,,,
20000,ordinal_candidate_plus_cp_certification,0.9,100,601.44,0.33,1,0.9822069385792516,0.8460878641282432,0.9022320392330652,0.04160439118985089,0.8714942018505809,542.63
20000,ordinal_candidate_plus_cp_certification,0.93,100,601.44,0.65,1,0.9700130395750278,0.8659666765297933,0.9349973792512232,0.034208299596282805,0.9090388069221552,562.39
20000,ordinal_candidate_plus_cp_certification,0.95,100,601.44,0.86,1,0.966753881409661,0.8906732123952895,0.9523787261088151,0.031713588446674906,0.9305375269364148,573.31
20000,ordinal_candidate_plus_cp_certification,0.97,100,601.44,0.93,1,0.9792930559985251,0.9569464624857112,0.9740783319813969,0.024041908494655432,0.9466189343458614,580.02
20000,ordinal_pooled_candidate_uncertified,0.9,100,45.14,1,0.52,0.9022320392330652,0.7874181021696237,0.9022320392330652,0.04160439118985089,,
20000,ordinal_pooled_candidate_uncertified,0.93,100,45.14,1,0.86,0.9349973792512232,0.8355006575791756,0.9349973792512232,0.034208299596282805,,
20000,ordinal_pooled_candidate_uncertified,0.95,100,45.14,1,0.94,0.9523787261088151,0.8747408932327573,0.9523787261088151,0.031713588446674906,,
20000,ordinal_pooled_candidate_uncertified,0.97,100,45.14,0.99,0.98,0.9740783319813969,0.9470660737551199,0.9740783319813969,0.024041908494655432,,
