n_str,class_j,class_k,true_ks,dkw_pairwise_coverage,two_sample_pairwise_coverage,mean_dkw_ucb,mean_two_sample_ucb,mean_ucb_reduction
2000,1,3,0.019945036390476102,1,1,0.21545377663666423,0.19206852635686267,0.023385250279801557
2000,1,4,0.029913659851819575,1,1,0.40808712907165057,0.3849654880924348,0.023121640979215718
2000,2,3,0.009973297288075951,1,1,0.22005758459700053,0.19573284510366543,0.024324739493335107
2000,2,4,0.019945036390476102,1,1,0.4109602524127907,0.3855743313346258,0.025385921078164873
2000,3,4,0.009973297288075951,1,1,0.41387035536634387,0.3868735473331798,0.02699680803316408
5000,0,1,0.009973297288075951,1,1,0.12254064812996615,0.10914516156210956,0.01339548656785659
5000,0,2,0.019945036390476102,1,1,0.1317615904991352,0.11805934717833919,0.013702243320796009
5000,0,3,0.029913659851819575,1,1,0.14338170213262894,0.12946077544997622,0.013920926682652704
5000,0,4,0.03987761167674496,1,1,0.2625430890515138,0.24977795888027493,0.012765130171238866
5000,1,2,0.009973297288075951,1,1,0.13317034402055788,0.11864419029113261,0.014526153729425267
5000,1,3,0.019945036390476102,1,1,0.14221552420943226,0.1273894375062617,0.014826086703170548
5000,1,4,0.029913659851819575,1,1,0.26073159919014677,0.2460548045398357,0.014676794650311057
5000,2,3,0.009973297288075951,1,1,0.13893651849766334,0.12358306739656161,0.015353451101101739
5000,2,4,0.019945036390476102,1,1,0.2613376768702199,0.24539196937010296,0.015945707500116972
5000,3,4,0.009973297288075951,1,1,0.26364607333533757,0.24663033613556196,0.017015737199775612
10000,0,1,0.009973297288075951,1,1,0.08916991726575169,0.07969862236092835,0.009471294904823327
10000,0,2,0.019945036390476102,1,1,0.10032853643459287,0.09062263775912927,0.009705898675463615
10000,0,3,0.029913659851819575,1,1,0.11103804504843483,0.10118650983394055,0.009851535214494276
10000,0,4,0.03987761167674496,1,1,0.1961524424795766,0.18707897368770868,0.009073468791867932
10000,1,2,0.009973297288075951,1,1,0.09593498778634268,0.08566790255023564,0.010267085236107054
10000,1,3,0.019945036390476102,1,1,0.10501074052542723,0.09454628722943423,0.010464453295992998
10000,1,4,0.029913659851819575,1,1,0.18957055065752945,0.17920359821140486,0.010366952446124605
10000,2,3,0.009973297288075951,1,1,0.10011793090030273,0.08925240610874773,0.010865524791555
10000,2,4,0.019945036390476102,1,1,0.1854137059813337,0.1740827934852226,0.011330912496111092
10000,3,4,0.009973297288075951,1,1,0.18387540317151324,0.17183433977900384,0.012041063392509403
20000,0,1,0.009973297288075951,1,1,0.06468930834698247,0.057986670682856366,0.006702637664126108
20000,0,2,0.019945036390476102,1,1,0.07336635755808533,0.06650136029832537,0.006864997259759972
20000,0,3,0.029913659851819575,1,1,0.0848021868965263,0.07782860281447251,0.0069735840820537775
20000,0,4,0.03987761167674496,1,1,0.14748152318614807,0.14105152850586442,0.006429994680283666
20000,1,2,0.009973297288075951,1,1,0.06879120447258168,0.06153804420330644,0.007253160269275236
20000,1,3,0.019945036390476102,1,1,0.07862984349717517,0.07123083554406114,0.007399007953114023
20000,1,4,0.029913659851819575,1,1,0.14257941353237555,0.13525092428165258,0.007328489250722973
20000,2,3,0.009973297288075951,1,1,0.0734203967640522,0.06574551870238234,0.007674878061669852
20000,2,4,0.019945036390476102,1,1,0.1378518475510949,0.12986134205441863,0.00799050549667626
20000,3,4,0.009973297288075951,1,1,0.1335489890639964,0.12503415490606953,0.008514834157926867
50000,0,1,0.009973297288075951,1,1,0.043130971156967166,0.03889247974891821,0.004238491408048952
50000,0,2,0.019945036390476102,1,1,0.054111551912593835,0.04977023689754755,0.004341315015046285
50000,0,3,0.029913659851819575,1,1,0.06467489754926439,0.060266439732389536,0.004408457816874855
50000,0,4,0.03987761167674496,1,1,0.10593915218135114,0.10187690588673927,0.004062246294611864
50000,1,2,0.009973297288075951,1,1,0.047167665074671475,0.04257852976643772,0.0045891353082337565
50000,1,3,0.019945036390476102,1,1,0.0572844618613327,0.052604852702060806,0.004679609159271897
50000,1,4,0.029913659851819575,1,1,0.09827791009314396,0.09364247456956037,0.004635435523583576
50000,2,3,0.009973297288075951,1,1,0.04917911767128319,0.04432462071658947,0.0048544969546937145
50000,2,4,0.019945036390476102,1,1,0.09086574212531859,0.0858098413998949,0.0050559007254236754
50000,3,4,0.009973297288075951,1,1,0.08362742956324595,0.0782465205300838,0.005380909033162155
