scenario,n_cal,method,class_id,radius_0_rate,radius_1_rate,radius_2_rate
strong_smoothness,800,adaptive_certified_v0_3,0,1,0,0
strong_smoothness,800,adaptive_certified_v0_3,1,1,0,0
strong_smoothness,800,adaptive_certified_v0_3,2,1,0,0
strong_smoothness,800,adaptive_certified_v0_3,3,1,0,0
strong_smoothness,800,adaptive_certified_v0_3,4,1,0,0
strong_smoothness,1600,adaptive_approximate,0,1,0,0
strong_smoothness,1600,adaptive_approximate,1,1,0,0
strong_smoothness,1600,adaptive_approximate,2,1,0,0
strong_smoothness,1600,adaptive_approximate,3,1,0,0
strong_smoothness,1600,adaptive_approximate,4,1,0,0
strong_smoothness,1600,adaptive_certified_v0_3,0,1,0,0
strong_smoothness,1600,adaptive_certified_v0_3,1,1,0,0
strong_smoothness,1600,adaptive_certified_v0_3,2,1,0,0
strong_smoothness,1600,adaptive_certified_v0_3,3,1,0,0
strong_smoothness,1600,adaptive_certified_v0_3,4,1,0,0
