scenario,class_id,radius,lipschitz_constant,weighted_cost,worst_cost,oracle_directional_cost
moderate_smoothness,1,0,0.06972591456743077,0.0,0.0,0.0
moderate_smoothness,1,1,0.06972591456743077,0.04708763061696623,0.06972591456743077,0.008194321553680828
moderate_smoothness,1,2,0.06972591456743077,0.06613179525983125,0.13945182913486154,3.2439054781859976e-06
moderate_smoothness,1,3,0.06972591456743077,0.07042317371310508,0.2091777437022923,5.968944662909577e-07
moderate_smoothness,2,0,0.06972591456743077,0.0,0.0,0.0
moderate_smoothness,2,1,0.06972591456743077,0.04683083814230425,0.06972591456743077,0.006389427736886333
moderate_smoothness,2,2,0.06972591456743077,0.07739576516984815,0.13945182913486154,0.041777701961320135
moderate_smoothness,3,0,0.06972591456743077,0.0,0.0,0.0
moderate_smoothness,3,1,0.06972591456743077,0.0387366192041282,0.06972591456743077,0.029521075989154044
moderate_smoothness,3,2,0.06972591456743077,0.07470633703653298,0.13945182913486154,0.06856715802704871
moderate_smoothness,3,3,0.06972591456743077,0.11504775903626076,0.2091777437022923,0.1099708766331321
moderate_smoothness,4,0,0.06972591456743077,0.0,0.0,0.0
moderate_smoothness,4,1,0.06972591456743077,0.06063123005863545,0.06972591456743077,0.06063122715273234
moderate_smoothness,4,2,0.06972591456743077,0.0991657451625682,0.13945182913486154,0.09882490850846459
moderate_smoothness,4,3,0.06972591456743077,0.13845574464104113,0.2091777437022923,0.13725935381827353
moderate_smoothness,4,4,0.06972591456743077,0.1805901187296457,0.2789036582697231,0.17775380074220543
local_discontinuity,0,0,0.5315479695746101,0.0,0.0,0.0
local_discontinuity,0,1,0.5315479695746101,0.2416127134430046,0.5315479695746101,0.0
local_discontinuity,0,2,0.5315479695746101,0.47632220650192336,1.0630959391492203,0.0
local_discontinuity,0,3,0.5315479695746101,0.7069040007744816,1.5946439087238304,0.0
local_discontinuity,0,4,0.5315479695746101,0.7494826371002004,2.1261918782984406,0.0
local_discontinuity,1,0,0.5315479695746101,0.0,0.0,0.0
local_discontinuity,1,1,0.5315479695746101,0.358967459972464,0.5315479695746101,0.0010395093226208685
local_discontinuity,1,2,0.5315479695746101,0.5041485896996302,1.0630959391492203,0.0
local_discontinuity,1,3,0.5315479695746101,0.5368634492703562,1.5946439087238304,0.0
local_discontinuity,2,0,0.5315479695746101,0.0,0.0,0.0
local_discontinuity,2,1,0.5315479695746101,0.35700983031130534,0.5315479695746101,0.0
local_discontinuity,2,2,0.5315479695746101,0.5900182462278173,1.0630959391492203,1.3877787807814457e-17
local_discontinuity,3,0,0.5315479695746101,0.0,0.0,0.0
local_discontinuity,3,1,0.5315479695746101,0.29530442754145003,0.5315479695746101,0.2593616323357477
local_discontinuity,3,2,0.5315479695746101,0.5695156816870824,1.0630959391492203,0.3592930179296598
local_discontinuity,3,3,0.5315479695746101,0.8770541497981067,1.5946439087238304,0.41551606628525795
local_discontinuity,4,0,0.5315479695746101,0.0,0.0,0.0
local_discontinuity,4,1,0.5315479695746101,0.46221562571705227,0.5315479695746101,0.008672432403167452
local_discontinuity,4,2,0.5315479695746101,0.7559793345061121,1.0630959391492203,0.26702192994083973
local_discontinuity,4,3,0.5315479695746101,1.055502396726726,1.5946439087238304,0.36690194853176555
local_discontinuity,4,4,0.5315479695746101,1.3767092411982405,2.1261918782984406,0.42307974263150466
no_ordinal_structure,0,0,0.9544997361036416,0.0,0.0,0.0
no_ordinal_structure,0,1,0.9544997361036416,0.43386351641074616,0.9544997361036416,0.0
no_ordinal_structure,0,2,0.9544997361036416,0.8553309323526138,1.9089994722072832,1.4426574960771865e-06
no_ordinal_structure,0,3,0.9544997361036416,1.2693862469831936,2.863499208310925,1.7183798828313002e-10
no_ordinal_structure,0,4,0.9544997361036416,1.3458446279061347,3.8179989444145663,8.989946677062633e-07
no_ordinal_structure,1,0,0.9544997361036416,0.0,0.0,0.0
no_ordinal_structure,1,1,0.9544997361036416,0.64459722438168,0.9544997361036416,0.5916496197940397
no_ordinal_structure,1,2,0.9544997361036416,0.9052987187787116,1.9089994722072832,0.46169253339021504
no_ordinal_structure,1,3,0.9544997361036416,0.964044733464678,2.863499208310925,0.47535095797948246
no_ordinal_structure,2,0,0.9544997361036416,0.0,0.0,0.0
no_ordinal_structure,2,1,0.9544997361036416,0.641081912308416,0.9544997361036416,0.0
no_ordinal_structure,2,2,0.9544997361036416,1.0594947070750422,1.9089994722072832,0.0
no_ordinal_structure,3,0,0.9544997361036416,0.0,0.0,0.0
no_ordinal_structure,3,1,0.9544997361036416,0.5302776311686896,0.9544997361036416,0.5209339632929694
no_ordinal_structure,3,2,0.9544997361036416,1.0226782886824732,1.9089994722072832,0.3616597169537855
no_ordinal_structure,3,3,0.9544997361036416,1.5749245645710086,2.863499208310925,0.5273497774201292
no_ordinal_structure,4,0,0.9544997361036416,0.0,0.0,0.0
no_ordinal_structure,4,1,0.9544997361036416,0.8299997705249057,0.9544997361036416,0.0
no_ordinal_structure,4,2,0.9544997361036416,1.3575107357918457,1.9089994722072832,0.0
no_ordinal_structure,4,3,0.9544997361036416,1.895363761691517,2.863499208310925,0.0
no_ordinal_structure,4,4,0.9544997361036416,2.472154316508432,3.8179989444145663,0.0
