scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_support_multiplier,mean_radius,mean_cost,guarantee_floor,mean_actual_coverage,finite_rate,realized_threshold_above_floor_rate
moderate_smoothness,200,approximate_ordinal_borrowing,0.05,4,100,6.01,6.01,1.0,0.0,0.0,0.9,0.9896869557350545,0.11,0.96
moderate_smoothness,400,approximate_ordinal_borrowing,0.0,4,100,12.21,12.21,1.0,0.0,0.0,0.9,0.9288436652145513,0.93,0.75
moderate_smoothness,400,approximate_ordinal_borrowing,0.01,4,100,12.21,12.21,1.0,0.0,0.0,0.9,0.9288436652145513,0.93,0.75
moderate_smoothness,400,approximate_ordinal_borrowing,0.02,4,100,12.21,12.21,1.0,0.0,0.0,0.9,0.9288436652145513,0.93,0.75
moderate_smoothness,400,approximate_ordinal_borrowing,0.05,4,100,12.21,12.21,1.0,0.0,0.0,0.9,0.9288436652145513,0.93,0.75
moderate_smoothness,800,approximate_ordinal_borrowing,0.0,4,100,24.04,24.04,1.0,0.0,0.0,0.9,0.9204542006699593,1,0.69
moderate_smoothness,800,approximate_ordinal_borrowing,0.01,4,100,24.04,24.04,1.0,0.0,0.0,0.9,0.9204542006699593,1,0.69
moderate_smoothness,800,approximate_ordinal_borrowing,0.02,4,100,24.04,24.04,1.0,0.0,0.0,0.9,0.9204542006699593,1,0.69
moderate_smoothness,800,approximate_ordinal_borrowing,0.05,4,100,24.04,24.04,1.0,0.0,0.0,0.9,0.9204542006699593,1,0.69
moderate_smoothness,1600,approximate_ordinal_borrowing,0.0,4,100,47.61,47.61,1.0,0.0,0.0,0.9,0.9106764940766129,1,0.64
moderate_smoothness,1600,approximate_ordinal_borrowing,0.01,4,100,47.61,47.61,1.0,0.0,0.0,0.9,0.9106764940766129,1,0.64
moderate_smoothness,1600,approximate_ordinal_borrowing,0.02,4,100,47.61,47.61,1.0,0.0,0.0,0.9,0.9106764940766129,1,0.64
moderate_smoothness,1600,approximate_ordinal_borrowing,0.05,4,100,47.61,47.61,1.0,0.0,0.0,0.9,0.9106764940766129,1,0.64
no_ordinal_structure,200,approximate_ordinal_borrowing,0.0,4,100,5.72,5.72,1.0,0.0,0.0,0.9,0.9939027657610788,0.11,0.99
no_ordinal_structure,200,approximate_ordinal_borrowing,0.01,4,100,5.72,5.72,1.0,0.0,0.0,0.9,0.9939027657610788,0.11,0.99
no_ordinal_structure,200,approximate_ordinal_borrowing,0.02,4,100,5.72,5.72,1.0,0.0,0.0,0.9,0.9939027657610788,0.11,0.99
no_ordinal_structure,200,approximate_ordinal_borrowing,0.05,4,100,5.72,5.72,1.0,0.0,0.0,0.9,0.9939027657610788,0.11,0.99
no_ordinal_structure,400,approximate_ordinal_borrowing,0.0,4,100,12.33,12.33,1.0,0.0,0.0,0.9,0.9374049142047433,0.87,0.79
no_ordinal_structure,400,approximate_ordinal_borrowing,0.01,4,100,12.33,12.33,1.0,0.0,0.0,0.9,0.9374049142047433,0.87,0.79
no_ordinal_structure,400,approximate_ordinal_borrowing,0.02,4,100,12.33,12.33,1.0,0.0,0.0,0.9,0.9374049142047433,0.87,0.79
no_ordinal_structure,400,approximate_ordinal_borrowing,0.05,4,100,12.33,12.33,1.0,0.0,0.0,0.9,0.9374049142047433,0.87,0.79
no_ordinal_structure,800,approximate_ordinal_borrowing,0.0,4,100,24.97,24.97,1.0,0.0,0.0,0.9,0.9205851909299207,1,0.7
no_ordinal_structure,800,approximate_ordinal_borrowing,0.01,4,100,24.97,24.97,1.0,0.0,0.0,0.9,0.9205851909299207,1,0.7
no_ordinal_structure,800,approximate_ordinal_borrowing,0.02,4,100,24.97,24.97,1.0,0.0,0.0,0.9,0.9205851909299207,1,0.7
no_ordinal_structure,800,approximate_ordinal_borrowing,0.05,4,100,24.97,24.97,1.0,0.0,0.0,0.9,0.9205851909299207,1,0.7
no_ordinal_structure,1600,approximate_ordinal_borrowing,0.0,4,100,49.45,49.45,1.0,0.0,0.0,0.9,0.9139273626971898,1,0.67
no_ordinal_structure,1600,approximate_ordinal_borrowing,0.01,4,100,49.45,49.45,1.0,0.0,0.0,0.9,0.9139273626971898,1,0.67
no_ordinal_structure,1600,approximate_ordinal_borrowing,0.02,4,100,49.45,49.45,1.0,0.0,0.0,0.9,0.9139273626971898,1,0.67
no_ordinal_structure,1600,approximate_ordinal_borrowing,0.05,4,100,49.45,49.45,1.0,0.0,0.0,0.9,0.9139273626971898,1,0.67
strong_smoothness,200,approximate_ordinal_borrowing,0.0,4,100,5.77,5.77,1.0,0.0,0.0,0.9,0.9943667667018408,0.12,0.98
strong_smoothness,200,approximate_ordinal_borrowing,0.01,4,100,5.77,46.39,10.093367632367633,1.0,0.00867243242441387,0.8913275675755862,0.9038720062922826,1,0.67
strong_smoothness,200,approximate_ordinal_borrowing,0.02,4,100,5.77,140.78,31.31224703074703,3.0,0.019804118900607962,0.8801958810993921,0.895988387204133,1,0.74
strong_smoothness,200,approximate_ordinal_borrowing,0.05,4,100,5.77,200.0,44.252208902208906,4.0,0.025830839976116717,0.8741691600238833,0.8919364834425605,1,0.8
strong_smoothness,400,approximate_ordinal_borrowing,0.0,4,100,12.0,12.0,1.0,0.0,0.0,0.9,0.933153838218025,0.82,0.81
strong_smoothness,400,approximate_ordinal_borrowing,0.01,4,100,12.0,90.01,8.174491058648954,1.0,0.00867243242441387,0.8913275675755862,0.9034235732686398,1,0.64
strong_smoothness,400,approximate_ordinal_borrowing,0.02,4,100,12.0,278.88,25.52730058190004,3.0,0.019804118900607962,0.8801958810993921,0.8913524135681729,1,0.68
strong_smoothness,400,approximate_ordinal_borrowing,0.05,4,100,12.0,400.0,36.652200895080156,4.0,0.025830839976116717,0.8741691600238833,0.8871671535235934,1,0.78
strong_smoothness,800,approximate_ordinal_borrowing,0.0,4,100,24.04,24.04,1.0,0.0,0.0,0.9,0.9258403750382067,1,0.75
strong_smoothness,800,approximate_ordinal_borrowing,0.01,4,100,24.04,182.63,7.911919382720773,1.0,0.00867243242441387,0.8913275675755862,0.9035396425290512,1,0.76
strong_smoothness,800,approximate_ordinal_borrowing,0.02,4,100,24.04,557.75,24.24261681356801,3.0,0.019804118900607962,0.8801958810993921,0.8959451254066593,1,0.91
strong_smoothness,800,approximate_ordinal_borrowing,0.05,4,100,24.04,800.0,34.79820223671705,4.0,0.025830839976116717,0.8741691600238833,0.8902584157735145,1,0.9
strong_smoothness,1600,approximate_ordinal_borrowing,0.0,4,100,47.86,47.86,1.0,0.0,0.0,0.9,0.9097170572634411,1,0.69
strong_smoothness,1600,approximate_ordinal_borrowing,0.01,4,100,47.86,368.29,7.834835395634406,1.0,0.00867243242441387,0.8913275675755862,0.8963461794725521,1,0.66
strong_smoothness,1600,approximate_ordinal_borrowing,0.02,4,100,47.86,1120.56,23.90250860132861,3.0,0.019804118900607962,0.8801958810993921,0.8904625391742654,1,0.88
strong_smoothness,1600,approximate_ordinal_borrowing,0.05,4,100,47.86,1600.0,34.13491359882674,4.0,0.025830839976116717,0.8741691600238833,0.8874980551237942,1,0.95
